Unnamed: 0,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN.1,WINGSTOP,DISTRICT 2 MALL,3101437288,WSP DISTRICT 2 MALL-BAHRAIN,2384706.25575,0,2384706.25575.1,0.1,661479,119235.3127875,119235.3127875.1,0.2,1603991.9429625,168337.6234122895,164092.5,0.3,4245.123412289505,0.4,0.5,379862.43880299537,329399.0713029954,0.6,0.7,756.5025,0.8,8218.664999999988,12519,6727.5,0.9,0.10,0.11,0.12,22241.700000000004,0.13,0.14,0.15,0.16,76414.96199999998,4458.87,71956.09199999999,0.17,0.18,0.19,Unnamed: 47,331095.47805749986,23847.0625575,37843.60124999999,0.20,1223.18625,9525.945,6142.5975,0.21,14917.5,0.22,3250.377,934.7715000000001,1484.4375,25737.543,0.23,0.24,1677.897,0.25,0.26,297.765,0.27,0.28,0.29,1636.83,202575.96449999986,0.30,0.31,0.32,0.33,0.34,0.35,1735.5,1735.5.1,0.36,0.37,957446.0022727848,646545.9406897152,116987.85714285714,116987.85714285714.1,0.38,0.39,0.40,0.41,0.42,0.43,529558.083546858,19794.819735548554,2298.214285714286,5250.175241952455,0.44,12246.430207881815,509763.2638113095,36143.85994777518,28343.25,7800.609947775176,0.45,54074.640223330214,0.46,54074.640223330214.1,27992.61377206308,27992.61377206308.1,0.47,0.48,0.49,0.50,0.51,0.52,0.53,447537.37741226715,0.54,447537.37741226715.1,44753.73774122675,402783.6396710404
,Bahrain Apparel Trading W.L.L,BAHRAIN,BAHRAIN,COLDSTONE CREMERY,MARASSI GALLERIA MALL,3101377353,CSC MARASSI 2,163270.28249999997,0.0,163270.28249999997,0.0,42012.75,4898.108474999999,4898.108474999999,0,116359.42402499997,16200.238958056381,15913.5405,0.0,286.6984580563823,0.0,0.0,88901.33125024439,76850.29225024438,0.0,0.0,0.0,2778.75,1786.2390000000007,1872.0,2778.75,0.0,0.0,0.0,0.0,2835.3,0.0,0.0,0.0,0.0,6394.46925,3032.25,3160.62825,0,0.0,201.59099999999998,,27462.363825000004,1632.7028249999998,3357.8999999999996,0.0,1011.777,1332.201,252.18375000000003,48.75,1755.0,0.0,2708.6474999999996,1496.0985,529.9125,5970.246749999999,0,0.0,113.685,0.0,0.0,23.4,0.0,0.0,298.49625000000003,6632.8665,0.0,0.0,0.0,0.0,298.49625000000003,0.0,0.0,117.0,117.0,0.0,0,139075.40328330078,-22715.97925830081,31674.428571428576,31674.428571428576,0.0,0.0,0.0,0,0.0,0.0,-54390.40782972939,5139.909933914456,2298.214285714286,2003.2367751896015,0,838.4588730105685,-59530.31776364385,2629.9096145464923,1940.25,689.6596145464922,0.0,13290.785313548115,0.0,13290.785313548115,427.7052578872599,427.7052578872599,0.0,0,0.0,0,0,0,0,-75023.30743385121,0.0,-75023.30743385121,-7502.330743385115,-67520.9766904661
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,AL LIWAN MALL,3101417382,AL LIWAN,1053970.03725,0.0,1053970.03725,0.0,310683.75,52698.5018625,52698.5018625,0,690587.7853875001,113733.64672286207,80691.0,0.0,1871.8967228620759,0.0,31170.75,168812.39737442395,150343.32337442396,0.0,0.0,0.0,0.0,3027.024000000002,4485.0,2291.25,0.0,0.0,0.0,0.0,8665.800000000001,0.0,0.0,0.0,0.0,75302.46750000001,1170.0,74132.46750000001,0,0.0,0.0,,228084.04037249993,10539.7003725,22542.04875,0.0,879.45,12113.03925,2281.5,1072.5,10003.5,0.0,2708.6474999999996,2672.7675,0.0,20616.433500000003,0,0.0,778.6545,0.0,0.0,1491.99375,936.3899999999999,0.0,0.0,16675.86375,122771.55149999993,0.0,0.0,0.0,0.0,0.0,0.0,770.25,770.25,0.0,0,586702.8019697859,103884.98341771413,70210.88923679061,70210.88923679061,0.0,0.0,0.0,0,0.0,0.0,33674.09418092352,10031.199366474531,2298.214285714286,2320.4230634222654,0,5412.56201733798,23642.89481444899,15976.390201976821,12528.75,3447.640201976822,0.0,23899.400789108564,0.0,23899.400789108564,2760.995569340405,2760.995569340405,0.0,0,0.0,0,0,0,0,-13471.90060729599,0.0,-13471.90060729599,-1347.1900607296134,-12124.710546566375
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,AL ALI  MALL,3101027352,WSP AL AALI MALL,2014508.09625,0.0,2014508.09625,0.0,581690.85,100725.40481250001,100725.40481250001,0,1332091.8414374997,166062.5413346612,162477.12,0.0,3585.4213346611973,0.0,0.0,166973.43380414747,148764.25580414748,0.0,0.0,0.0,0.0,3449.628000000002,4972.5,2486.25,0.0,0.0,0.0,0.0,7300.800000000002,0.0,0.0,0.0,0.0,108685.9215,5070.0,103615.9215,0,0.0,0.0,,481904.9639625,20145.0809625,58960.2,0.0,975.2145,15377.270999999999,6181.5,1316.25,37189.152,0.0,3250.377,1721.889,1339.1625,27687.543,0,494.32500000000005,1471.3725,0.0,0.0,97.5,0.0,0.0,0.0,4548.375,301149.7515,0.0,0.0,0.0,0.0,0.0,0.0,1462.5,1462.5,0.0,0,925089.3606013085,407002.4808361912,84456.57690802349,84456.57690802349,0.0,0.0,0.0,0,0.0,0.0,322545.9039281677,17078.67340959815,2298.214285714286,4435.146050438049,0,10345.313073445814,305467.2305185696,30535.655165113465,23946.0,6589.655165113465,0.0,45680.17560613329,0.0,45680.17560613329,5277.235340255991,5277.235340255991,0.0,0,0.0,0,0,0,0,234528.63508757882,0.0,234528.63508757882,23452.863508757866,211075.77157882095
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,SUSHI LIBRARY,MARASSI GALLERIA MALL,3101376886,SLI MARASSI GALLERIA MALL-BAHRAIN,1450066.36125,0.0,1450066.36125,0.0,375667.5,58002.65445,58002.65445,0,1016396.2068,104087.76393472782,101504.63700000002,0.0,2583.1269347277976,0.0,0.0,466864.5203244557,399181.4535744557,0.0,0.0,6564.869999999999,13016.25,8950.851000000008,7341.750000000001,11992.256249999999,0.0,0.0,0.0,0.0,19542.900000000016,274.1895,0.0,0.0,0.0,35995.8105,0.0,27411.4815,0,0.0,8584.328999999998,,240849.9146625,14500.6636125,35861.3775,0.0,2706.16125,11313.412500000002,30810.0,0.0,49303.215,0.0,3250.377,539.6625,738.5429999999999,0.0,0,0.0,1000.7497500000001,0.0,0.0,0.0,0.0,1466.3999999999999,107.25,0.0,89252.10254999998,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,1053.0,0.0,0,848851.0094216834,167545.19737831666,114249.2667,114249.2667,0.0,0.0,0.0,0,0.0,0.0,53295.93067831667,47463.944771504066,2298.214285714286,37719.05379467662,0,7446.676691113161,5831.9859068126025,57442.14766464376,17238.0,40204.14766464376,0.0,0.0,0.0,0.0,27992.61377206308,27992.61377206308,0.0,0,0.0,0,0,0,0,-23617.547985768077,0.0,-23617.547985768077,-2361.75479857682,-21255.793187191255
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,SUSHI LIBRARY,AVENUE MALL- BAHRAIN,3101276972,SLI AVENUES MALL-BAHRAIN,1264809.156,0.0,1264809.156,0.0,322362.495,50592.36624,50592.36624,0,891854.29476,327800.7648731034,325552.5,0.0,2248.2648731034033,0.0,0.0,418054.93478826236,353365.84928826237,0.0,0.0,2197.806,14088.75,7727.265000000002,5811.0,16989.375,0.0,0.0,0.0,0.0,17600.700000000004,274.1895,0.0,0.0,0.0,30628.630499999992,487.5,26046.910499999994,0,32.175000000000004,4062.0449999999996,,260282.41355999996,12648.09156,95130.75,0.0,1545.36525,7651.799999999999,42053.60249999999,1722.5324999999998,28091.699999999997,0.0,3250.377,539.6625,569.01,0.0,0,0.0,873.288,0.0,0.0,257.90700000000004,0.0,0.0,175.69500000000002,3693.97275,62018.01449999994,0.0,0.0,0.0,60.645,0.0,0.0,916.5,916.5,0.0,0,1037683.2437213657,-145828.94896136574,114474.28571428572,114474.28571428572,0.0,0.0,0.0,0,0.0,0.0,-260303.23467565147,41693.6729919013,2298.214285714286,32900.15262062789,0,6495.30608555913,-301996.90766755276,50102.256507076505,15034.5,35067.756507076505,0.0,0.0,0.0,0.0,27992.61377206308,27992.61377206308,0.0,0,0.0,0,0,0,0,-324106.5504025662,0.0,-324106.5504025662,-32410.65504025662,-291695.8953623096
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,AVENUE MALL- BAHRAIN,3101277289,WSP AVENUES MALL-BAHRAIN,2089103.78625,0.0,2089103.78625,0.0,579627.75,104455.1893125,104455.1893125,0,1405020.8469375,186837.4650828114,158520.375,0.0,3717.8400828113813,0.0,24599.25,342423.49647580646,307589.41797580646,0.0,0.0,1210.0725,0.0,7267.805999999993,9847.5,4972.5,0.0,0.0,0.0,0.0,11536.200000000003,0.0,0.0,0.0,0.0,45562.880999999994,0.0,45562.880999999994,0,0.0,0.0,,248289.96611250006,20891.037862499998,50622.00000000001,0.0,1222.8645,25057.305,20545.589999999997,0.0,17509.05,0.0,3250.377,934.6739999999999,817.1864999999999,25737.543,0,0.0,1422.16425,0.0,1950.0,343.20000000000005,215.47500000000002,0.0,8.72625,4197.4335,73556.61300000001,0.0,0.0,0.0,8.72625,0.0,0.0,1521.0,1521.0,0.0,0,824634.808671118,580386.038266382,116366.35714285714,116366.35714285714,0.0,0.0,0.0,0,0.0,0.0,464019.6811235248,17625.982476717472,2298.214285714286,4599.3761076411265,0,10728.392083362058,446393.69864680734,31666.915042670542,24833.25,6833.665042670543,0.0,47371.67747947091,0.0,47371.67747947091,41988.92065809462,41988.92065809462,0.0,0,0.0,0,0,0,0,409344.0267827605,0.0,409344.0267827605,40934.40267827607,368409.62410448445
,Bahrain Apparel Trading W.L.L,BAHRAIN,BAHRAIN,COLDSTONE CREMERY,BLOCK 338-BAHRAIN,3101396789,CSC BLOCK 338-BAHRAIN,199086.2055,0.0,199086.2055,0.0,55974.75,5972.586165000001,5972.586165000001,0,137138.869335,88106.50805232053,87750.0,0.0,356.50805232051994,0.0,0.0,83143.93715556806,68828.98715556806,0.0,0.0,0.0,1706.25,982.7999999999998,1365.0,2242.5,0.0,0.0,0.0,0.0,8018.400000000001,0.0,0.0,0.0,0.0,7992.4065,0.0,7834.62225,0,0.0,157.78425,,86326.34380499998,1990.8620550000003,14669.849999999999,0.0,1129.44,4940.325,4504.5,0.0,8775.0,0.0,3250.377,1344.5445,0.0,5287.746749999999,0,0.0,138.3525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40295.34599999999,0.0,0.0,0.0,0.0,0.0,0.0,146.25,146.25,0.0,0,265715.44551288855,-128576.57617788855,21837.214285714286,21837.214285714286,0.0,0.0,0.0,0,0.0,0.0,-150413.79046360284,5763.280892590738,2298.214285714286,2442.6784971757147,0,1022.3881097007378,-156177.07135619357,3210.1973766094193,2369.25,840.9473766094192,0.0,16206.329625168759,0.0,16206.329625168759,27992.61377206308,27992.61377206308,0.0,0,0.0,0,0,0,0,-147600.98458590868,0.0,-147600.98458590868,-14760.098458590868,-132840.88612731782
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,WINGSTOP,MARASSI GALLERIA MALL,3101377354,WSP MARASSI,2509468.36725,0.0,2509468.36725,0.0,725829.0,125473.41836250002,125473.41836250002,0,1658165.9488875002,63477.752848930046,59008.306499999984,0.0,4469.446348930062,0.0,0.0,360873.71763018443,319127.1036301844,0.0,0.0,793.6500000000001,0.0,6515.963999999996,9789.0,5460.0,0.0,0.0,0.0,0.0,19188.000000000004,0.0,0.0,0.0,0.0,61724.442,1992.12,59732.322,0,0.0,0.0,,260432.93942249997,25094.683672500003,18616.1625,0.0,1443.36075,11808.293249999999,12909.0,0.0,5850.0,0.0,3250.377,1884.1485,277.875,26127.543,0,494.32500000000005,1739.62425,0.0,0.0,301.7625,0.0,0.0,0.0,4931.6475,145704.1365,0.0,0.0,0.0,0.0,0.0,0.0,1823.25,1823.25,0.0,0,748332.1019016145,909833.8469858858,122579.21428571429,122579.21428571429,0.0,0.0,0.0,0,0.0,0.0,787254.6327001714,20710.200166467584,2298.214285714286,5524.8518178836075,0,12887.134062869689,766544.4325337039,38033.969150208686,29825.25,8208.719150208686,0.0,56903.69569991079,0.0,56903.69569991079,20570.147506259425,20570.147506259425,0.0,0,0.0,0,0,0,0,692176.9151898439,0.0,692176.9151898439,69217.6915189844,622959.2236708595
,Sprinklez General Trading W.L.L,BAHRAIN,BAHRAIN,SUSHI LIBRARY,JUFFAIR SQUARE,3101316894,SL JUFFAIR SQUARE,1355715.82575,0.0,1355715.82575,0.0,352657.5,54228.63303,54228.63303,0,948829.69272,179011.08966180915,176596.875,0.0,2414.2146618091547,0.0,0.0,250537.36303324313,199608.81328324313,0.0,0.0,11460.345000000001,8970.0,4206.384,3042.0,13771.631249999999,0.0,0.0,0.0,0.0,9204.0,274.1895,0.0,0.0,0.0,51144.18075,0.0,41756.19825,0,0.0,9387.982500000002,,310537.7054324999,13557.1582575,11321.602499999995,0.0,1519.2060000000001,14292.47625,24798.637499999997,195.0,20182.5,0.0,3250.377,0.0,133.575,97.5,0,0.0,946.257,0.0,0.0,21.450000000000003,0.0,1466.3999999999999,562.0387499999999,564.96375,217443.31342499988,0.0,0.0,0.0,185.25,0.0,0.0,984.75,984.75,0.0,0,792215.0888775522,156614.60384244786,66424.85310000001,66424.85310000001,0.0,0.0,0.0,0,0.0,0.0,90189.75074244785,44525.1752286333,2298.214285714286,35264.812375674774,0,6962.14856724424,45664.575513814554,53704.96024077973,16116.75,37588.21024077973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,-8040.384726965174,0.0,-8040.384726965174,-804.0384726965244,-7236.34625426865
